sheet,cell,original_formula,preserved_value,archival_note
Blackbutt,R2,=A3-A2,1.3378910000000133,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R3,=A4-A3,1.3359380000000556,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R67,=A68-A67,1.3203130000000556,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R131,=A132-A131,1.3027340000001004,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R195,=A196-A195,1.287108999999873,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R259,=A260-A259,1.2695319999997992,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R323,=A324-A323,1.2539070000000265,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R387,=A388-A387,1.2382809999999154,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R451,=A452-A451,1.220703000000185,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R515,=A516-A515,1.2070309999999154,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R579,=A580-A579,1.1914059999999154,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R643,=A644-A643,1.177733999999873,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R707,=A708-A707,1.1621090000001004,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R771,=A772-A771,1.1503909999998996,Formula flattened to its cached value when external workbook links were removed for public archiving.
Blackbutt,R835,=A836-A835,1.1367180000002008,Formula flattened to its cached value when external workbook links were removed for public archiving.
