year,rainfall_derived_dryness_mm
1900,-10.88333333333344
1901,559.2166666666666
1902,657.1166666666666
1903,135.01666666666665
1904,110.91666666666652
1905,439.3166666666666
1906,331.21666666666647
1907,579.1166666666666
1908,235.4166666666665
1909,445.51666666666665
1910,218.21666666666647
1911,-175.38333333333344
1912,98.3166666666666
1913,-314.0833333333335
1914,-123.28333333333352
1915,749.7166666666666
1916,99.8166666666666
1917,88.41666666666652
1918,517.5166666666665
1919,265.11666666666656
1920,174.01666666666665
1921,-400.0833333333335
1922,231.61666666666656
1923,546.6166666666666
1924,300.3166666666666
1925,51.61666666666656
1926,96.11666666666656
1927,57.01666666666665
1928,161.51666666666665
1929,-220.78333333333356
1930,78.51666666666665
1931,-22.78333333333353
1932,405.01666666666665
1933,-103.48333333333336
1934,-454.78333333333353
1935,451.21666666666647
1936,440.8166666666666
1937,235.61666666666656
1938,397.61666666666656
1939,450.21666666666647
1940,696.2166666666666
1941,780.2166666666666
1942,-23.78333333333353
1943,9.61666666666656
1944,892.7166666666666
1945,317.01666666666665
1946,528.3166666666666
1947,-48.083333333333485
1948,291.01666666666665
1949,-472.38333333333344
1950,-1272.0833333333333
1951,-265.2833333333336
1952,-380.6833333333334
1953,610.3166666666666
1954,180.61666666666656
1955,-79.48333333333335
1956,-549.8833333333334
1957,731.4166666666665
1958,194.71666666666647
1959,-123.38333333333344
1960,310.51666666666665
1961,-208.98333333333332
1962,-31.183333333333398
1963,-643.6833333333336
1964,313.3166666666666
1965,305.4166666666665
1966,515.9166666666665
1967,142.51666666666665
1968,685.4166666666665
1969,-107.1833333333334
1970,258.8166666666666
1971,93.21666666666648
1972,-285.7833333333336
1973,-262.38333333333344
1974,-539.2833333333335
1975,-96.88333333333344
1976,-113.1833333333334
1977,249.8166666666666
1978,-578.1833333333336
1979,761.2166666666666
1980,648.4166666666665
1981,-238.48333333333332
1982,585.4166666666665
1983,161.41666666666652
1984,-277.9833333333333
1985,-87.38333333333344
1986,-110.98333333333336
1987,-167.78333333333353
1988,-371.98333333333335
1989,-252.1833333333334
1990,-347.38333333333344
1991,331.51666666666665
1992,
1993,746.2166666666666
1994,709.0166666666665
1995,-32.88333333333344
1996,223.61666666666656
1997,539.4166666666665
1998,-96.38333333333344
1999,-102.28333333333352
2000,230.9166666666665
2001,270.61666666666656
2002,491.8166666666666
2003,301.51666666666665
2004,529.8166666666666
2005,192.21666666666647
2006,529.5166666666665
2007,-451.78333333333353
2008,170.01666666666665
2009,69.41666666666652
2010,-207.58333333333348
2011,
2012,72.8166666666666
2013,-62.083333333333485
2014,
2015,11.416666666666517
2016,328.21666666666647
2017,244.61666666666656
2018,411.01666666666665
2019,
2020,-505.0833333333335
2021,-328.1833333333334
2022,-1099.1833333333336
