timestamp_utc,timestamp_local,local_date,local_time,area_mean_vpd_kpa
1940-01-01 02:00:00+00:00,1940-01-01 12:00:00+10:00,1940-01-01,12:00,1.1019417
1940-01-01 06:00:00+00:00,1940-01-01 16:00:00+10:00,1940-01-01,16:00,0.5046161
1940-01-02 02:00:00+00:00,1940-01-02 12:00:00+10:00,1940-01-02,12:00,1.0760742
1940-01-02 06:00:00+00:00,1940-01-02 16:00:00+10:00,1940-01-02,16:00,0.82124925
1940-01-03 02:00:00+00:00,1940-01-03 12:00:00+10:00,1940-01-03,12:00,1.2909106
1940-01-03 06:00:00+00:00,1940-01-03 16:00:00+10:00,1940-01-03,16:00,1.3775191
1940-01-04 02:00:00+00:00,1940-01-04 12:00:00+10:00,1940-01-04,12:00,1.8492737
1940-01-04 06:00:00+00:00,1940-01-04 16:00:00+10:00,1940-01-04,16:00,1.9993986
1940-01-05 02:00:00+00:00,1940-01-05 12:00:00+10:00,1940-01-05,12:00,0.16377878
1940-01-05 06:00:00+00:00,1940-01-05 16:00:00+10:00,1940-01-05,16:00,0.43387878
1940-01-06 02:00:00+00:00,1940-01-06 12:00:00+10:00,1940-01-06,12:00,1.6306782
1940-01-06 06:00:00+00:00,1940-01-06 16:00:00+10:00,1940-01-06,16:00,1.1776131
1940-01-07 02:00:00+00:00,1940-01-07 12:00:00+10:00,1940-01-07,12:00,0.036057908
1940-01-07 06:00:00+00:00,1940-01-07 16:00:00+10:00,1940-01-07,16:00,0.12490344
1940-01-08 02:00:00+00:00,1940-01-08 12:00:00+10:00,1940-01-08,12:00,0.45903552
1940-01-08 06:00:00+00:00,1940-01-08 16:00:00+10:00,1940-01-08,16:00,0.4192777
1940-01-09 02:00:00+00:00,1940-01-09 12:00:00+10:00,1940-01-09,12:00,1.4576985
1940-01-09 06:00:00+00:00,1940-01-09 16:00:00+10:00,1940-01-09,16:00,1.4328624
1940-01-10 02:00:00+00:00,1940-01-10 12:00:00+10:00,1940-01-10,12:00,1.512115
1940-01-10 06:00:00+00:00,1940-01-10 16:00:00+10:00,1940-01-10,16:00,1.8129398
1940-01-11 02:00:00+00:00,1940-01-11 12:00:00+10:00,1940-01-11,12:00,1.7903095
1940-01-11 06:00:00+00:00,1940-01-11 16:00:00+10:00,1940-01-11,16:00,2.6702774
1940-01-12 02:00:00+00:00,1940-01-12 12:00:00+10:00,1940-01-12,12:00,1.5166969
1940-01-12 06:00:00+00:00,1940-01-12 16:00:00+10:00,1940-01-12,16:00,2.228301
1940-01-13 02:00:00+00:00,1940-01-13 12:00:00+10:00,1940-01-13,12:00,2.1413715
1940-01-13 06:00:00+00:00,1940-01-13 16:00:00+10:00,1940-01-13,16:00,2.3438737
1940-01-14 02:00:00+00:00,1940-01-14 12:00:00+10:00,1940-01-14,12:00,2.5743096
1940-01-14 06:00:00+00:00,1940-01-14 16:00:00+10:00,1940-01-14,16:00,2.180217
1940-01-15 02:00:00+00:00,1940-01-15 12:00:00+10:00,1940-01-15,12:00,3.4958909
1940-01-15 06:00:00+00:00,1940-01-15 16:00:00+10:00,1940-01-15,16:00,1.7311039
1940-01-16 02:00:00+00:00,1940-01-16 12:00:00+10:00,1940-01-16,12:00,0.8120889
1940-01-16 06:00:00+00:00,1940-01-16 16:00:00+10:00,1940-01-16,16:00,0.8234346
1940-01-17 02:00:00+00:00,1940-01-17 12:00:00+10:00,1940-01-17,12:00,2.8578491
1940-01-17 06:00:00+00:00,1940-01-17 16:00:00+10:00,1940-01-17,16:00,3.294648
1940-01-18 02:00:00+00:00,1940-01-18 12:00:00+10:00,1940-01-18,12:00,0.8796017
1940-01-18 06:00:00+00:00,1940-01-18 16:00:00+10:00,1940-01-18,16:00,0.274343
1940-01-19 02:00:00+00:00,1940-01-19 12:00:00+10:00,1940-01-19,12:00,2.5675619
1940-01-19 06:00:00+00:00,1940-01-19 16:00:00+10:00,1940-01-19,16:00,3.4419775
1940-01-20 02:00:00+00:00,1940-01-20 12:00:00+10:00,1940-01-20,12:00,0.47958055
1940-01-20 06:00:00+00:00,1940-01-20 16:00:00+10:00,1940-01-20,16:00,0.47105125
1940-01-21 02:00:00+00:00,1940-01-21 12:00:00+10:00,1940-01-21,12:00,3.088917
1940-01-21 06:00:00+00:00,1940-01-21 16:00:00+10:00,1940-01-21,16:00,3.4189014
1940-01-22 02:00:00+00:00,1940-01-22 12:00:00+10:00,1940-01-22,12:00,3.3253047
1940-01-22 06:00:00+00:00,1940-01-22 16:00:00+10:00,1940-01-22,16:00,3.2237747
