year,annual_mean_daily_max_vpd_kpa,annual_mean_daily_min_vpd_kpa,annual_mean_daily_mean_vpd_kpa,annual_mean_vpd_smooth_365d_centered_kpa,annual_mean_vpd_smooth_1825d_centered_kpa,days_observed
1940,1.3943400786666666,1.1585839814453553,1.2764620268661202,1.297603482155406,1.2178491271284788,366
1941,1.1204057097643836,0.8921565736684931,1.0062811418273974,1.1642318939756504,1.2442042098061568,365
1942,1.057278258769863,0.8724714561589041,0.9648748549452055,1.1390081882238845,1.2500665961616677,365
1943,1.3944945106136986,1.171637146120548,1.2830658317424657,1.3249686569031374,1.2654750043385936,365
1944,1.377947576513661,1.1660912169071038,1.272019398431694,1.333845588203749,1.3126884379852888,366
1945,1.2777189424054796,1.0486893626958904,1.1632041502438357,1.365640671900268,1.3135074932778121,365
1946,1.497354337120548,1.276088367778082,1.3867213501506848,1.3996197887366755,1.2858262227297692,365
1947,1.088375396739726,0.9051067058849316,0.9967410523424658,1.143179480842568,1.2558624145371995,365
1948,1.2298106801502733,1.0128883314125683,1.1213494999071039,1.1870705364177605,1.1841122939536624,366
1949,1.1853900707315068,0.9956231735835617,1.0905066277589042,1.1835677916900953,1.1562903139364331,365
1950,0.9739563322547945,0.7938944025150685,0.8839253666054794,1.0072424879458466,1.1909065971353596,365
1951,1.2600247221369862,1.0617339967452055,1.1608793653315068,1.2605263326752028,1.2230006185366034,365
1952,1.326694251636612,1.098516142681694,1.2126051981557378,1.315644578023093,1.2595376385602821,366
1953,1.4135399744657533,1.173242397750685,1.2933911889041096,1.3484037233591863,1.2932465189591562,365
1954,1.3066769725424658,1.0910186591315068,1.1988478181589042,1.365443484187182,1.27099980830377,365
1955,1.2064631658739726,1.0047449167835616,1.1056040410657535,1.1753561202939868,1.3221683955105883,365
1956,1.1055936271885247,0.9226279988005464,1.014110811691257,1.1511392011201145,1.3128376918957356,366
1957,1.695371366339726,1.4166706058520546,1.5560209872575341,1.5717163296084558,1.249951858285109,365
1958,1.2124494930246577,1.0004848410657534,1.1064671618191781,1.300847580027591,1.2391310829289648,365
1959,0.9967858464219178,0.810176924709589,0.9034813857945205,1.0508778821045999,1.223964445550436,365
1960,1.1330079197185794,0.9143467081019125,1.0236773154153005,1.1210004513537677,1.1136431317280908,366
1961,1.0913093947178083,0.9068490953934246,0.9990792409808219,1.0750812464424817,1.058069858053345,365
1962,1.0295488249178082,0.8396517850465753,0.9346003041972601,1.0208233786814598,1.0865189398232045,365
1963,0.9611588197232876,0.7869252800136987,0.8740420525123288,1.0223435301795185,1.1309601893033052,365
1964,1.1905981921885245,0.9709356962131148,1.0807669461338798,1.1937366771095952,1.14791064211361,366
1965,1.3594348585972604,1.0958310592767122,1.2276329564657535,1.3430268858033,1.1656939563045254,365
1966,1.1783570078246575,0.9443257080399999,1.0613413552830138,1.1591660134194968,1.2083473844299313,365
1967,1.1213446363013697,0.8839765954547946,1.0026606182438356,1.1096456047024548,1.1909124296268039,365
1968,1.2232570728661203,0.9753734851639344,1.0993152780765028,1.2358716335555313,1.1311897980226413,366
1969,1.1056507158027398,0.9010965920575343,1.0033736582821917,1.1063525126839353,1.1015881947473651,365
1970,1.0643316615452054,0.8627220204186301,0.9635268362383561,1.0446372878096815,1.1006038346358817,365
1971,1.0319822768136986,0.8225428621986302,0.9272625707068494,1.0109119528504065,1.054732114791663,365
1972,1.087911313838798,0.8994221855109289,0.9936667445382513,1.105335266245523,1.022820826293257,366
1973,1.0102803800273972,0.8115140785057534,0.9108972282301371,1.005752410635808,1.0130249280394281,365
1974,0.9325060617671233,0.7468726796082191,0.8396893713671233,0.9473630733156343,1.021124325321496,365
1975,1.0309657944958905,0.829460991750685,0.9302133909753425,0.9954539761069143,1.0694650726486343,365
1976,1.0258688044180326,0.7887376924336065,0.907303249989071,1.051987087653476,1.1203148195258306,366
1977,1.406670940060274,1.1357501792816438,1.2712105621846577,1.3476939765742613,1.2075274663993731,365
1978,1.1215860539953424,0.9228699397860275,1.0222280005139726,1.2589739168812129,1.3212372943517243,365
1979,1.469045949232877,1.2156243019479451,1.342335127271233,1.3835500777997518,1.3738956087134873,365
1980,1.6079603640191256,1.283198626762295,1.445579493021858,1.563429570483082,1.3871362485824785,366
1981,1.2503208179452054,0.9807434079235616,1.1155321106630136,1.3148440943887643,1.3865930795519537,365
1982,1.4495591763863014,1.1454295272778083,1.2974943600246576,1.4146512462412089,1.3383143399234383,365
1983,1.233190211369863,0.9464247349182958,1.0898074742575343,1.2555919178022181,1.2687153825049882,365
1984,1.1053171845710383,0.85419650175,0.9797568442349727,1.1431814533651006,1.248347781017053,366
1985,1.2044210403123288,0.9475781868630136,1.0759996129780822,1.215554182572742,1.19131172772868,365
1986,1.2279020396849316,0.9541018872383562,1.0910019689452055,1.212827270196261,1.1630849121196083,365
1987,1.1522274548767124,0.8931682669945205,1.0226978585561644,1.1305119251295137,1.1592721209514647,365
1988,1.1504819024273225,0.9331776398161202,1.0418297693103824,1.1130450505888605,1.1689488315125307,366
1989,1.127702634339726,0.917971202450137,1.022836917090411,1.124629932809684,1.1999690554249234,365
1990,1.210245404380822,0.9948827684164383,1.1025640876246574,1.2643286469304922,1.196329980990686,365
1991,1.407726911279452,1.1866646613616438,1.2971957832876713,1.3674251795637438,1.2114611490186507,365
1992,1.043139366909836,0.8542367626243169,0.9486880653770492,1.1122407037486903,1.2577462541688098,366
1993,1.1981252747337534,0.9855952584521644,1.0918602717228494,1.189055933737077,1.2493134087332933,365
1994,1.460847309728767,1.2081369967123288,1.3344921532082192,1.3561367587485034,1.2166056883328862,365
1995,1.1602000645049315,0.9642755039616439,1.062237786558904,1.2226640142288603,1.2725474887849657,365
1996,1.1884861166557377,1.0116853152579235,1.100085714068306,1.2032407857927188,1.292574142043221,366
1997,1.4087189381884933,1.1574752378051727,1.2830970872,1.3923940087232978,1.2413292526571809,365
1998,1.2685095353178082,1.04737154049137,1.1579405352123286,1.2883930404748238,1.2203965531772976,365
1999,1.092613626589041,0.9099402768635617,1.0012769529424657,1.1003174994505895,1.2272462226254355,365
2000,1.117916472749989,0.9392103207821694,1.0285633922815518,1.1178429296952532,1.2276597076546432,366
2001,1.2700382859369863,1.0759371892293699,1.1729877303452056,1.2376205248504402,1.2334650030858614,365
2002,1.4408977327602739,1.2499037560821917,1.345400744169863,1.3952197273525286,1.287357118778039,365
2003,1.2038990287041096,1.0291162551863013,1.116507642649315,1.3163217782629748,1.3266705627334499,365
2004,1.407591302204918,1.2095554228087433,1.3085733628032787,1.3694174257817404,1.3612446759509451,366
2005,1.3455200971780823,1.1579177695178082,1.2517189281945205,1.3147004782086769,1.3264806320524798,365
2006,1.4222589253479452,1.21863234858,1.3204456338136987,1.4105057678685544,1.2859730375750995,365
2007,1.2059178317123287,1.017695851608219,1.1118068433671233,1.221641335452259,1.2625824442543585,365
2008,1.0692207450737705,0.9181442048633881,0.9936824745519125,1.1138183734955205,1.2218489484437083,366
2009,1.3223382079890411,1.1248124222219178,1.2235753149150685,1.2527089892125758,1.1435325985779556,365
2010,1.0410628967726028,0.8934046889411232,0.9672337982753424,1.1107217740770068,1.1308979621372262,365
2011,1.0535181427863014,0.8825489318016438,0.968033536430137,1.0195377671479449,1.1807391757794783,365
2012,1.178221314751366,0.9840477693038251,1.0811345385505464,1.157961239845465,1.1949569334502832,366
2013,1.3806887647671233,1.1845480325534246,1.2826183954931507,1.3634644132362372,1.2180494816980934,365
2014,1.3409985883726028,1.1119551313835616,1.2264768589424657,1.3234229813256089,1.2661537714475173,365
2015,1.168049059980822,0.9427714422536987,1.055410251419178,1.2254381348406036,1.3005629013015274,365
2016,1.2523914546709563,1.0170370077259971,1.1347142298071038,1.2599547219080003,1.3028306138308616,366
2017,1.2962261423780823,1.0416840465928767,1.1689550964630138,1.3310138019990978,1.3226974356627035,365
2018,1.3968531659232877,1.1676366733561643,1.2822449233479452,1.374476386383106,1.3245102258683954,365
2019,1.5345014110246575,1.277539548649315,1.406020481052055,1.4225946760421166,1.2844664935830432,365
2020,1.1530889044655739,0.9166805771997268,1.0348847395002734,1.2342804572494448,1.2022577684504647,366
2021,1.0849049944951508,0.8920759287616439,0.9884904614450959,1.059166526523338,1.1581427909336592,365
2022,0.8947972768712329,0.737451290786411,0.8161242871863013,0.8849394541530564,1.0666513335870318,365
