date,year,month,nino34_sst_anomaly_c
1870-01-01,1870,1,-1.0
1870-02-01,1870,2,-1.2
1870-03-01,1870,3,-0.83
1870-04-01,1870,4,-0.81
1870-05-01,1870,5,-1.27
1870-06-01,1870,6,-1.08
1870-07-01,1870,7,-1.04
1870-08-01,1870,8,-0.88
1870-09-01,1870,9,-0.53
1870-10-01,1870,10,-0.92
1870-11-01,1870,11,-0.79
1870-12-01,1870,12,-0.79
1871-01-01,1871,1,-0.25
1871-02-01,1871,2,-0.58
1871-03-01,1871,3,-0.43
1871-04-01,1871,4,-0.5
1871-05-01,1871,5,-0.71
1871-06-01,1871,6,-0.53
1871-07-01,1871,7,-0.6
1871-08-01,1871,8,-0.33
1871-09-01,1871,9,-0.24
1871-10-01,1871,10,-0.33
1871-11-01,1871,11,-0.31
1871-12-01,1871,12,-0.58
1872-01-01,1872,1,-0.72
1872-02-01,1872,2,-0.62
1872-03-01,1872,3,-0.5
1872-04-01,1872,4,-0.77
1872-05-01,1872,5,-0.62
1872-06-01,1872,6,-0.52
1872-07-01,1872,7,-0.32
1872-08-01,1872,8,-0.85
1872-09-01,1872,9,-1.02
1872-10-01,1872,10,-0.94
1872-11-01,1872,11,-0.79
1872-12-01,1872,12,-0.88
1873-01-01,1873,1,-0.78
1873-02-01,1873,2,-1.01
1873-03-01,1873,3,-1.31
1873-04-01,1873,4,-0.67
1873-05-01,1873,5,-0.53
1873-06-01,1873,6,-0.48
1873-07-01,1873,7,-0.58
1873-08-01,1873,8,-0.39
1873-09-01,1873,9,-0.34
1873-10-01,1873,10,-0.78
1873-11-01,1873,11,-0.77
1873-12-01,1873,12,-0.7
1874-01-01,1874,1,-0.93
1874-02-01,1874,2,-1.06
1874-03-01,1874,3,-1.4
1874-04-01,1874,4,-0.94
1874-05-01,1874,5,-0.86
1874-06-01,1874,6,-0.72
1874-07-01,1874,7,-1.0
1874-08-01,1874,8,-1.05
1874-09-01,1874,9,-1.13
1874-10-01,1874,10,-1.25
1874-11-01,1874,11,-1.33
1874-12-01,1874,12,-1.14
1875-01-01,1875,1,-0.71
1875-02-01,1875,2,-0.37
1875-03-01,1875,3,-0.59
1875-04-01,1875,4,-0.87
1875-05-01,1875,5,-1.09
1875-06-01,1875,6,-0.76
1875-07-01,1875,7,-0.85
1875-08-01,1875,8,-0.81
1875-09-01,1875,9,-0.91
1875-10-01,1875,10,-0.83
1875-11-01,1875,11,-0.64
1875-12-01,1875,12,-0.75
1876-01-01,1876,1,-0.95
1876-02-01,1876,2,-1.2
1876-03-01,1876,3,-1.13
1876-04-01,1876,4,-1.18
1876-05-01,1876,5,-1.08
1876-06-01,1876,6,-0.43
1876-07-01,1876,7,-0.34
1876-08-01,1876,8,-0.16
1876-09-01,1876,9,-0.02
1876-10-01,1876,10,0.11
1876-11-01,1876,11,0.15
1876-12-01,1876,12,0.23
1877-01-01,1877,1,0.35
1877-02-01,1877,2,0.46
1877-03-01,1877,3,0.52
1877-04-01,1877,4,0.5
1877-05-01,1877,5,0.76
1877-06-01,1877,6,0.98
1877-07-01,1877,7,1.42
1877-08-01,1877,8,1.54
1877-09-01,1877,9,1.75
1877-10-01,1877,10,1.95
1877-11-01,1877,11,2.08
1877-12-01,1877,12,2.49
1878-01-01,1878,1,2.41
1878-02-01,1878,2,2.43
1878-03-01,1878,3,1.31
1878-04-01,1878,4,0.92
1878-05-01,1878,5,0.82
1878-06-01,1878,6,0.92
1878-07-01,1878,7,0.25
1878-08-01,1878,8,-0.11
1878-09-01,1878,9,-0.32
1878-10-01,1878,10,-0.53
1878-11-01,1878,11,-0.7
1878-12-01,1878,12,-0.75
1879-01-01,1879,1,-0.55
1879-02-01,1879,2,-0.18
1879-03-01,1879,3,-0.24
1879-04-01,1879,4,-0.37
1879-05-01,1879,5,-0.83
1879-06-01,1879,6,-0.67
1879-07-01,1879,7,-0.77
1879-08-01,1879,8,-0.69
1879-09-01,1879,9,-0.83
1879-10-01,1879,10,-0.93
1879-11-01,1879,11,-1.14
1879-12-01,1879,12,-1.02
1880-01-01,1880,1,-1.0
1880-02-01,1880,2,-0.73
1880-03-01,1880,3,-0.62
1880-04-01,1880,4,-0.57
1880-05-01,1880,5,-0.71
1880-06-01,1880,6,-0.61
1880-07-01,1880,7,-0.53
1880-08-01,1880,8,-0.24
1880-09-01,1880,9,-0.03
1880-10-01,1880,10,0.17
1880-11-01,1880,11,0.24
1880-12-01,1880,12,0.18
1881-01-01,1881,1,0.29
1881-02-01,1881,2,0.23
1881-03-01,1881,3,0.32
1881-04-01,1881,4,0.41
1881-05-01,1881,5,0.16
1881-06-01,1881,6,0.23
1881-07-01,1881,7,-0.26
1881-08-01,1881,8,-0.17
1881-09-01,1881,9,-0.33
1881-10-01,1881,10,-0.43
1881-11-01,1881,11,-0.59
1881-12-01,1881,12,-0.37
1882-01-01,1882,1,-0.45
1882-02-01,1882,2,-0.55
1882-03-01,1882,3,-0.53
1882-04-01,1882,4,0.1
1882-05-01,1882,5,0.01
1882-06-01,1882,6,-0.4
1882-07-01,1882,7,-0.57
1882-08-01,1882,8,-0.33
1882-09-01,1882,9,-0.51
1882-10-01,1882,10,-0.65
1882-11-01,1882,11,-0.92
1882-12-01,1882,12,-0.75
1883-01-01,1883,1,-0.46
1883-02-01,1883,2,-0.49
1883-03-01,1883,3,-0.4
1883-04-01,1883,4,-0.23
1883-05-01,1883,5,-0.38
1883-06-01,1883,6,-0.21
1883-07-01,1883,7,-0.01
1883-08-01,1883,8,-0.03
1883-09-01,1883,9,-0.17
1883-10-01,1883,10,-0.42
1883-11-01,1883,11,-0.22
1883-12-01,1883,12,-0.14
1884-01-01,1884,1,-0.11
1884-02-01,1884,2,-0.01
1884-03-01,1884,3,-0.0
1884-04-01,1884,4,0.26
1884-05-01,1884,5,0.4
1884-06-01,1884,6,-0.13
1884-07-01,1884,7,0.28
1884-08-01,1884,8,0.2
1884-09-01,1884,9,0.18
1884-10-01,1884,10,0.29
1884-11-01,1884,11,0.3
1884-12-01,1884,12,0.35
1885-01-01,1885,1,0.12
1885-02-01,1885,2,0.27
1885-03-01,1885,3,0.12
1885-04-01,1885,4,-0.02
1885-05-01,1885,5,0.44
1885-06-01,1885,6,0.17
1885-07-01,1885,7,0.08
1885-08-01,1885,8,0.34
1885-09-01,1885,9,0.52
1885-10-01,1885,10,0.72
1885-11-01,1885,11,0.81
1885-12-01,1885,12,1.02
1886-01-01,1886,1,0.17
1886-02-01,1886,2,-0.1
1886-03-01,1886,3,-0.11
1886-04-01,1886,4,-0.37
1886-05-01,1886,5,-0.85
1886-06-01,1886,6,-0.9
1886-07-01,1886,7,-0.97
1886-08-01,1886,8,-1.03
1886-09-01,1886,9,-1.21
1886-10-01,1886,10,-1.14
1886-11-01,1886,11,-1.34
1886-12-01,1886,12,-1.44
1887-01-01,1887,1,-0.68
1887-02-01,1887,2,-1.02
1887-03-01,1887,3,-1.17
1887-04-01,1887,4,-1.18
1887-05-01,1887,5,-1.14
1887-06-01,1887,6,-0.56
1887-07-01,1887,7,-0.55
1887-08-01,1887,8,-0.62
1887-09-01,1887,9,-0.34
1887-10-01,1887,10,-0.12
1887-11-01,1887,11,0.04
1887-12-01,1887,12,0.15
1888-01-01,1888,1,0.15
1888-02-01,1888,2,0.66
1888-03-01,1888,3,0.4
1888-04-01,1888,4,0.3
1888-05-01,1888,5,0.47
1888-06-01,1888,6,0.4
1888-07-01,1888,7,0.56
1888-08-01,1888,8,0.93
1888-09-01,1888,9,0.58
1888-10-01,1888,10,1.42
1888-11-01,1888,11,2.21
1888-12-01,1888,12,1.67
1889-01-01,1889,1,1.98
1889-02-01,1889,2,1.47
1889-03-01,1889,3,0.83
1889-04-01,1889,4,0.46
1889-05-01,1889,5,0.32
1889-06-01,1889,6,0.09
1889-07-01,1889,7,-0.76
1889-08-01,1889,8,-0.99
1889-09-01,1889,9,-0.92
1889-10-01,1889,10,-1.31
1889-11-01,1889,11,-1.08
1889-12-01,1889,12,-1.25
1890-01-01,1890,1,-2.49
1890-02-01,1890,2,-2.11
1890-03-01,1890,3,-1.15
1890-04-01,1890,4,-1.14
1890-05-01,1890,5,-1.0
1890-06-01,1890,6,-0.86
1890-07-01,1890,7,-0.92
1890-08-01,1890,8,-1.38
1890-09-01,1890,9,-1.29
1890-10-01,1890,10,-1.26
1890-11-01,1890,11,-1.07
1890-12-01,1890,12,-0.68
1891-01-01,1891,1,-0.45
1891-02-01,1891,2,-0.25
1891-03-01,1891,3,-0.07
1891-04-01,1891,4,0.15
1891-05-01,1891,5,0.13
1891-06-01,1891,6,0.29
1891-07-01,1891,7,0.11
1891-08-01,1891,8,0.05
1891-09-01,1891,9,-0.08
1891-10-01,1891,10,-0.03
1891-11-01,1891,11,0.06
1891-12-01,1891,12,0.01
1892-01-01,1892,1,-0.5
1892-02-01,1892,2,-0.34
1892-03-01,1892,3,-0.58
1892-04-01,1892,4,-0.65
1892-05-01,1892,5,-0.72
1892-06-01,1892,6,-0.57
1892-07-01,1892,7,-0.62
1892-08-01,1892,8,-0.63
1892-09-01,1892,9,-1.07
1892-10-01,1892,10,-1.54
1892-11-01,1892,11,-1.62
1892-12-01,1892,12,-1.18
1893-01-01,1893,1,-1.23
1893-02-01,1893,2,-1.16
1893-03-01,1893,3,-1.24
1893-04-01,1893,4,-1.3
1893-05-01,1893,5,-1.32
1893-06-01,1893,6,-1.19
1893-07-01,1893,7,-1.32
1893-08-01,1893,8,-1.29
1893-09-01,1893,9,-1.28
1893-10-01,1893,10,-1.36
1893-11-01,1893,11,-1.3
1893-12-01,1893,12,-1.0
1894-01-01,1894,1,-1.09
1894-02-01,1894,2,-1.13
1894-03-01,1894,3,-1.06
1894-04-01,1894,4,-0.92
1894-05-01,1894,5,-1.0
1894-06-01,1894,6,-0.84
1894-07-01,1894,7,-0.88
1894-08-01,1894,8,-0.8
1894-09-01,1894,9,-1.1
1894-10-01,1894,10,-0.82
1894-11-01,1894,11,-0.92
1894-12-01,1894,12,-0.48
1895-01-01,1895,1,-0.73
1895-02-01,1895,2,-0.49
1895-03-01,1895,3,-0.4
1895-04-01,1895,4,-0.17
1895-05-01,1895,5,-0.03
1895-06-01,1895,6,-0.21
1895-07-01,1895,7,-0.26
1895-08-01,1895,8,0.36
1895-09-01,1895,9,0.42
1895-10-01,1895,10,0.32
1895-11-01,1895,11,0.44
