year,annual_mean_nino34_sst_anomaly_c,months_available
1870,-0.9283333333333333,12
1871,-0.44916666666666666,12
1872,-0.7125,12
1873,-0.695,12
1874,-1.0675000000000001,12
1875,-0.765,12
1876,-0.5,12
1877,1.2333333333333334,12
1878,0.5541666666666667,12
1879,-0.6849999999999999,12
1880,-0.37083333333333335,12
1881,-0.0425,12
1882,-0.46249999999999997,12
1883,-0.26333333333333336,12
1884,0.16749999999999998,12
1885,0.3825,12
1886,-0.7741666666666666,12
1887,-0.5991666666666667,12
1888,0.8125,12
1889,-0.09666666666666668,12
1890,-1.2791666666666666,12
1891,-0.006666666666666672,12
1892,-0.835,12
1893,-1.2491666666666668,12
1894,-0.92,12
1895,-0.022500000000000006,12
1896,0.5683333333333334,12
1897,0.0725,12
1898,-0.5583333333333333,12
1899,0.21083333333333334,12
1900,0.7416666666666667,12
1901,-0.12083333333333335,12
1902,0.7358333333333333,12
1903,-0.0008333333333333156,12
1904,-0.010833333333333325,12
1905,0.89,12
1906,-0.03333333333333333,12
1907,-0.3758333333333333,12
1908,-0.5108333333333334,12
1909,-0.8741666666666666,12
1910,-0.9283333333333333,12
1911,-0.2541666666666667,12
1912,0.21166666666666667,12
1913,0.035,12
1914,0.49750000000000005,12
1915,0.355,12
1916,-0.93,12
1917,-0.42250000000000004,12
1918,0.07833333333333335,12
1919,0.6075,12
1920,0.21916666666666665,12
1921,-0.45083333333333336,12
1922,-0.3325,12
1923,0.029166666666666674,12
1924,-0.40750000000000003,12
1925,0.18916666666666668,12
1926,0.5225,12
1927,-0.07833333333333332,12
1928,-0.06583333333333334,12
1929,0.085,12
1930,0.7174999999999999,12
1931,0.45249999999999996,12
1932,-0.005833333333333329,12
1933,-0.6241666666666666,12
1934,-0.49,12
1935,-0.17,12
1936,0.10999999999999999,12
1937,0.010000000000000002,12
1938,-0.4575,12
1939,-0.19166666666666665,12
1940,0.7383333333333333,12
1941,1.11,12
1942,-0.45,12
1943,-0.5158333333333333,12
1944,-0.10416666666666667,12
1945,-0.6266666666666666,12
1946,-0.21666666666666667,12
1947,-0.2658333333333333,12
1948,0.08083333333333333,12
1949,-0.49666666666666665,12
1950,-1.0625,12
1951,0.12583333333333335,12
1952,-0.18583333333333332,12
1953,0.31916666666666665,12
1954,-0.5866666666666667,12
1955,-1.1841666666666668,12
1956,-0.8566666666666666,12
1957,0.47500000000000003,12
1958,0.4291666666666667,12
1959,-0.017500000000000005,12
1960,-0.09000000000000001,12
1961,-0.18916666666666668,12
1962,-0.33499999999999996,12
1963,0.36083333333333334,12
1964,-0.5425,12
1965,0.6,12
1966,0.23416666666666663,12
1967,-0.37833333333333335,12
1968,-0.02416666666666666,12
1969,0.5575,12
1970,-0.355,12
1971,-0.9308333333333333,12
1972,0.775,12
1973,-0.6508333333333333,12
1974,-0.945,12
1975,-1.045,12
1976,-0.08583333333333336,12
1977,0.5016666666666667,12
1978,-0.17916666666666667,12
1979,0.18666666666666668,12
1980,0.14083333333333334,12
1981,-0.18916666666666668,12
1982,0.915,12
1983,0.44583333333333336,12
1984,-0.7200000000000001,12
1985,-0.7116666666666666,12
1986,0.08416666666666667,12
1987,1.2241666666666666,12
1988,-1.0191666666666668,12
1989,-0.7883333333333334,12
1990,0.1775,12
1991,0.5975,12
1992,0.6224999999999999,12
1993,0.4366666666666667,12
1994,0.3825,12
1995,-0.024999999999999984,12
1996,-0.37000000000000005,12
1997,1.19,12
1998,0.07250000000000002,12
1999,-1.0941666666666665,12
2000,-0.8725,12
2001,-0.33666666666666667,12
2002,0.5891666666666667,12
2003,0.23916666666666667,12
2004,0.36916666666666664,12
2005,0.03583333333333335,12
2006,0.09333333333333334,12
2007,-0.5608333333333334,12
2008,-0.7133333333333334,12
2009,0.35250000000000004,12
2010,-0.43,12
2011,-0.8483333333333333,12
2012,-0.03166666666666667,12
2013,-0.22166666666666668,12
2014,0.25416666666666665,12
2015,1.47,12
2016,0.3958333333333333,12
2017,-0.2025,12
2018,0.0625,12
2019,0.5325000000000001,12
2020,-0.22166666666666668,12
2021,-0.6275000000000001,12
2022,-0.8475,12
2023,0.8291666666666666,12
2024,0.42583333333333334,12
2025,-0.17375000000000002,8
