date,year,month,southern_oscillation_index
1866-01-01,1866,1,-0.62
1866-02-01,1866,2,-0.12
1866-03-01,1866,3,-0.62
1866-04-01,1866,4,-0.65
1866-05-01,1866,5,0.04
1866-06-01,1866,6,-0.82
1866-07-01,1866,7,-0.34
1866-08-01,1866,8,0.36
1866-09-01,1866,9,-0.18
1866-10-01,1866,10,0.07
1866-11-01,1866,11,1.1
1866-12-01,1866,12,-0.16
1867-01-01,1867,1,0.09
1867-02-01,1867,2,-0.01
1867-03-01,1867,3,-0.09
1867-04-01,1867,4,0.83
1867-05-01,1867,5,0.5
1867-06-01,1867,6,-0.48
1867-07-01,1867,7,0.44
1867-08-01,1867,8,0.34
1867-09-01,1867,9,0.12
1867-10-01,1867,10,-0.56
1867-11-01,1867,11,-0.65
1867-12-01,1867,12,-0.89
1868-01-01,1868,1,-0.16
1868-02-01,1868,2,-0.34
1868-03-01,1868,3,-1.56
1868-04-01,1868,4,0.3
1868-05-01,1868,5,-1.34
1868-06-01,1868,6,-2.2
1868-07-01,1868,7,-0.4
1868-08-01,1868,8,-1.41
1868-09-01,1868,9,-1.23
1868-10-01,1868,10,-1.24
1868-11-01,1868,11,-1.49
1868-12-01,1868,12,0.52
1869-01-01,1869,1,-1.9
1869-02-01,1869,2,-0.26
1869-03-01,1869,3,-0.59
1869-04-01,1869,4,2.12
1869-05-01,1869,5,1.4
1869-06-01,1869,6,1.53
1869-07-01,1869,7,1.42
1869-08-01,1869,8,0.94
1869-09-01,1869,9,0.12
1869-10-01,1869,10,0.85
1869-11-01,1869,11,0.56
1869-12-01,1869,12,0.42
1870-01-01,1870,1,1.06
1870-02-01,1870,2,0.18
1870-03-01,1870,3,-0.75
1870-04-01,1870,4,0.47
1870-05-01,1870,5,-0.11
1870-06-01,1870,6,-1.1
1870-07-01,1870,7,0.17
1870-08-01,1870,8,0.98
1870-09-01,1870,9,-0.0
1870-10-01,1870,10,-0.58
1870-11-01,1870,11,-0.86
1870-12-01,1870,12,-1.29
1871-01-01,1871,1,-1.13
1871-02-01,1871,2,-0.13
1871-03-01,1871,3,-2.0
1871-04-01,1871,4,-0.46
1871-05-01,1871,5,-0.47
1871-06-01,1871,6,0.24
1871-07-01,1871,7,0.31
1871-08-01,1871,8,0.38
1871-09-01,1871,9,0.58
1871-10-01,1871,10,-0.14
1871-11-01,1871,11,-0.02
1871-12-01,1871,12,0.97
1872-01-01,1872,1,2.69
1872-02-01,1872,2,1.12
1872-03-01,1872,3,1.69
1872-04-01,1872,4,-0.54
1872-05-01,1872,5,1.35
1872-06-01,1872,6,2.45
1872-07-01,1872,7,2.3
