year,annual_mean_southern_oscillation_index,months_available
1866,-0.16166666666666665,12
1867,-0.03000000000000001,12
1868,-0.8791666666666668,12
1869,0.5508333333333334,12
1870,-0.1525,12
1871,-0.15583333333333332,12
1872,1.915,12
1873,0.07833333333333338,12
1874,0.5908333333333333,12
1875,0.26999999999999996,12
1876,0.4458333333333333,12
1877,-1.7975,12
1878,0.1683333333333333,12
1879,1.2683333333333333,12
1880,0.785,12
1881,-0.5883333333333334,12
1882,-0.6016666666666667,12
1883,-0.2525,12
1884,-0.38000000000000006,12
1885,-0.6749999999999999,12
1886,0.7025,12
1887,0.4683333333333333,12
1888,-1.2708333333333333,12
1889,0.16333333333333336,12
1890,0.5575,12
1891,-0.2808333333333333,12
1892,0.5233333333333333,12
1893,0.9899999999999999,12
1894,0.20750000000000002,12
1895,-0.24583333333333335,12
1896,-1.5491666666666666,12
1897,-0.68,12
1898,0.5741666666666667,12
1899,0.16,12
1900,-0.6483333333333333,12
1901,0.0658333333333333,12
1902,0.09833333333333331,12
1903,0.47,12
1904,0.3925,12
1905,-1.7858333333333334,12
1906,0.20583333333333334,12
1907,-0.205,12
1908,0.2841666666666666,12
1909,0.2875,12
1910,1.2583333333333333,12
1911,-0.6366666666666667,12
1912,-0.9758333333333334,12
1913,-0.6775000000000001,12
1914,-0.9258333333333333,12
1915,0.16583333333333333,12
1916,0.6375000000000001,12
1917,2.138333333333333,12
1918,0.04666666666666666,12
1919,-1.0941666666666665,12
1920,0.09166666666666667,12
1921,0.6608333333333334,12
1922,0.33,12
1923,-0.36166666666666664,12
1924,0.33749999999999997,12
1925,-0.24416666666666664,12
1926,-0.4916666666666667,12
1927,0.2733333333333334,12
1928,0.4175,12
1929,0.4608333333333334,12
1930,0.025833333333333337,12
1931,0.39333333333333337,12
1932,-0.6774999999999999,12
1933,0.09416666666666666,12
1934,-0.010833333333333334,12
1935,0.14083333333333334,12
1936,0.03166666666666668,12
1937,0.08333333333333333,12
1938,0.8758333333333334,12
1939,0.02,12
1940,-1.5241666666666667,12
1941,-1.4475,12
1942,0.019166666666666648,12
1943,0.355,12
1944,-0.2775,12
1945,0.4183333333333334,12
1946,-0.7916666666666666,12
1947,0.15916666666666668,12
1948,-0.2325,12
1949,-0.21333333333333335,12
1950,1.5108333333333333,12
1951,-0.6941666666666667,12
1952,-0.22166666666666668,12
1953,-0.7675000000000001,12
1954,0.2333333333333333,12
1955,0.9025,12
1956,1.0191666666666668,12
1957,-0.4558333333333333,12
1958,-0.5016666666666666,12
1959,-0.10416666666666664,12
1960,0.2916666666666667,12
1961,-0.010833333333333361,12
1962,0.3858333333333333,12
1963,-0.31916666666666665,12
1964,0.5391666666666667,12
1965,-0.9525,12
1966,-0.5383333333333333,12
1967,0.25416666666666665,12
1968,0.19999999999999998,12
1969,-0.6658333333333334,12
1970,0.2891666666666667,12
1971,1.0725,12
1972,-0.8291666666666666,12
1973,0.64,12
1974,0.9591666666666666,12
1975,1.3283333333333334,12
1976,0.05833333333333334,12
1977,-1.135,12
1978,-0.2875,12
1979,-0.26333333333333336,12
1980,-0.43250000000000005,12
1981,0.07083333333333335,12
1982,-1.4500000000000002,12
1983,-0.9483333333333333,12
1984,-0.13749999999999998,12
1985,-0.017499999999999988,12
1986,-0.3225,12
1987,-1.4775,12
1988,0.7366666666666667,12
1989,0.6166666666666667,12
1990,-0.32583333333333336,12
1991,-1.0133333333333334,12
1992,-1.2275,12
1993,-1.1066666666666667,12
1994,-1.3533333333333333,12
1995,-0.3358333333333334,12
1996,0.5625,12
1997,-1.2883333333333333,12
1998,-0.22416666666666663,12
1999,0.7866666666666666,12
2000,0.7225,12
2001,-0.07833333333333334,12
2002,-0.7233333333333333,12
2003,-0.4266666666666667,12
2004,-0.6333333333333333,12
2005,-0.4566666666666666,12
2006,-0.2825,12
2007,0.034999999999999996,12
2008,0.9974999999999999,12
2009,-0.13166666666666663,12
2010,0.9441666666666667,12
2011,1.3958333333333333,12
2012,-0.18000000000000002,12
2013,0.3458333333333334,12
2014,-0.38166666666666665,12
2015,-1.1741666666666666,12
2016,-0.4566666666666666,12
2017,0.10916666666666668,12
2018,0.08750000000000002,12
2019,-0.7908333333333334,12
2020,0.30083333333333334,12
2021,0.7725,12
2022,1.4241666666666666,12
2023,-0.44083333333333335,12
2024,-0.003333333333333318,12
2025,0.5128571428571428,7
