year,annual_mean_dmi_iod_index,months_available
1950,-0.395833333,12
1951,-0.419166667,12
1952,-0.409166667,12
1953,-0.398333333,12
1954,-0.36,12
1955,-0.384166667,12
1956,-0.410833333,12
1957,-0.4325,12
1958,-0.458333333,12
1959,-0.4925,12
1960,-0.505833333,12
1961,-0.5625,12
1962,-0.521666667,12
1963,-0.511666667,12
1964,-0.485833333,12
1965,-0.52,12
1966,-0.505833333,12
1967,-0.499166667,12
1968,-0.455,12
1969,-0.454166667,12
1970,-0.450833333,12
1971,-0.438333333,12
1972,-0.419166667,12
1973,-0.3575,12
1974,-0.385,12
1975,-0.379166667,12
1976,-0.4125,12
1977,-0.370833333,12
1978,-0.358333333,12
1979,-0.3725,12
1980,-0.369166667,12
1981,-0.395833333,12
1982,-0.400833333,12
1983,-0.34,12
1984,-0.325833333,12
1985,-0.366666667,12
1986,-0.4275,12
1987,-0.440833333,12
1988,-0.454166667,12
1989,-0.479166667,12
1990,-0.535,12
1991,-0.586666667,12
1992,-0.5425,12
1993,-0.596666667,12
1994,-0.580833333,12
1995,-0.536666667,12
1996,-0.563333333,12
1997,-0.615,12
1998,-0.515833333,12
1999,-0.530833333,12
2000,-0.551666667,12
2001,-0.5275,12
2002,-0.530833333,12
2003,-0.51,12
2004,-0.499166667,12
2005,-0.510833333,12
2006,-0.575,12
2007,-0.53,12
2008,-0.485,12
2009,-0.48,12
2010,-0.464166667,12
2011,-0.5,12
2012,-0.485,12
2013,-0.420833333,12
2014,-0.436666667,12
2015,-0.335833333,12
2016,-0.285,12
2017,-0.346666667,12
2018,-0.290833333,12
2019,-0.245,12
2020,-0.155833333,12
2021,-0.186666667,12
2022,-0.219166667,12
2023,-0.335833333,12
2024,-0.255833333,12
2025,-0.2275,12
2026,-0.3075,12
