year,annual_mean_dmi_ipo_index,months_available
1950,-0.3958333333333333,12
1951,-0.4191666666666667,12
1952,-0.4091666666666667,12
1953,-0.3983333333333334,12
1954,-0.36000000000000004,12
1955,-0.3841666666666666,12
1956,-0.41083333333333333,12
1957,-0.43249999999999994,12
1958,-0.4583333333333333,12
1959,-0.4925,12
1960,-0.5058333333333334,12
1961,-0.5625,12
1962,-0.5216666666666666,12
1963,-0.5116666666666667,12
1964,-0.48583333333333334,12
1965,-0.52,12
1966,-0.5058333333333334,12
1967,-0.4991666666666667,12
1968,-0.455,12
1969,-0.45416666666666666,12
1970,-0.45083333333333336,12
1971,-0.4383333333333333,12
1972,-0.4191666666666667,12
1973,-0.3575,12
1974,-0.385,12
1975,-0.37916666666666665,12
1976,-0.41250000000000003,12
1977,-0.37083333333333335,12
1978,-0.35833333333333334,12
1979,-0.3725,12
1980,-0.36916666666666664,12
1981,-0.3958333333333333,12
1982,-0.4008333333333333,12
1983,-0.34,12
1984,-0.3258333333333333,12
1985,-0.3666666666666667,12
1986,-0.4275,12
1987,-0.44083333333333335,12
1988,-0.45416666666666666,12
1989,-0.4791666666666667,12
1990,-0.535,12
1991,-0.5866666666666666,12
1992,-0.5425,12
1993,-0.5966666666666667,12
1994,-0.5808333333333333,12
1995,-0.5366666666666666,12
1996,-0.5633333333333334,12
1997,-0.6150000000000001,12
1998,-0.5158333333333334,12
1999,-0.5308333333333334,12
2000,-0.5516666666666666,12
2001,-0.5275,12
2002,-0.5308333333333334,12
2003,-0.51,12
2004,-0.4991666666666667,12
2005,-0.5108333333333334,12
2006,-0.5750000000000001,12
2007,-0.5299999999999999,12
2008,-0.48500000000000004,12
2009,-0.48,12
2010,-0.46416666666666667,12
2011,-0.5,12
2012,-0.48500000000000004,12
2013,-0.42083333333333334,12
2014,-0.4366666666666667,12
2015,-0.3358333333333334,12
2016,-0.285,12
2017,-0.3466666666666667,12
2018,-0.29083333333333333,12
2019,-0.245,12
2020,-0.1558333333333333,12
2021,-0.18666666666666668,12
2022,-0.2191666666666667,12
2023,-0.3358333333333334,12
2024,-0.2558333333333333,12
2025,-0.2275,12
2026,-0.3075,12
