year,annual_mean_nino34_sst_anomaly_c,annual_mean_southern_oscillation_index,annual_mean_dmi_iod_index
1900,0.741666667,-0.648333333,
1901,-0.120833333,0.065833333,
1902,0.735833333,0.098333333,
1903,-0.000833333,0.47,
1904,-0.010833333,0.3925,
1905,0.89,-1.785833333,
1906,-0.033333333,0.205833333,
1907,-0.375833333,-0.205,
1908,-0.510833333,0.284166667,
1909,-0.874166667,0.2875,
1910,-0.928333333,1.258333333,
1911,-0.254166667,-0.636666667,
1912,0.211666667,-0.975833333,
1913,0.035,-0.6775,
1914,0.4975,-0.925833333,
1915,0.355,0.165833333,
1916,-0.93,0.6375,
1917,-0.4225,2.138333333,
1918,0.078333333,0.046666667,
1919,0.6075,-1.094166667,
1920,0.219166667,0.091666667,
1921,-0.450833333,0.660833333,
1922,-0.3325,0.33,
1923,0.029166667,-0.361666667,
1924,-0.4075,0.3375,
1925,0.189166667,-0.244166667,
1926,0.5225,-0.491666667,
1927,-0.078333333,0.273333333,
1928,-0.065833333,0.4175,
1929,0.085,0.460833333,
1930,0.7175,0.025833333,
1931,0.4525,0.393333333,
1932,-0.005833333,-0.6775,
1933,-0.624166667,0.094166667,
1934,-0.49,-0.010833333,
1935,-0.17,0.140833333,
1936,0.11,0.031666667,
1937,0.01,0.083333333,
1938,-0.4575,0.875833333,
1939,-0.191666667,0.02,
1940,0.738333333,-1.524166667,
1941,1.11,-1.4475,
1942,-0.45,0.019166667,
1943,-0.515833333,0.355,
1944,-0.104166667,-0.2775,
1945,-0.626666667,0.418333333,
1946,-0.216666667,-0.791666667,
1947,-0.265833333,0.159166667,
1948,0.080833333,-0.2325,
1949,-0.496666667,-0.213333333,
1950,-1.0625,1.510833333,-0.395833333
1951,0.125833333,-0.694166667,-0.419166667
1952,-0.185833333,-0.221666667,-0.409166667
1953,0.319166667,-0.7675,-0.398333333
1954,-0.586666667,0.233333333,-0.36
1955,-1.184166667,0.9025,-0.384166667
1956,-0.856666667,1.019166667,-0.410833333
1957,0.475,-0.455833333,-0.4325
1958,0.429166667,-0.501666667,-0.458333333
1959,-0.0175,-0.104166667,-0.4925
1960,-0.09,0.291666667,-0.505833333
1961,-0.189166667,-0.010833333,-0.5625
1962,-0.335,0.385833333,-0.521666667
1963,0.360833333,-0.319166667,-0.511666667
1964,-0.5425,0.539166667,-0.485833333
1965,0.6,-0.9525,-0.52
1966,0.234166667,-0.538333333,-0.505833333
1967,-0.378333333,0.254166667,-0.499166667
1968,-0.024166667,0.2,-0.455
1969,0.5575,-0.665833333,-0.454166667
1970,-0.355,0.289166667,-0.450833333
1971,-0.930833333,1.0725,-0.438333333
1972,0.775,-0.829166667,-0.419166667
1973,-0.650833333,0.64,-0.3575
1974,-0.945,0.959166667,-0.385
1975,-1.045,1.328333333,-0.379166667
1976,-0.085833333,0.058333333,-0.4125
1977,0.501666667,-1.135,-0.370833333
1978,-0.179166667,-0.2875,-0.358333333
1979,0.186666667,-0.263333333,-0.3725
1980,0.140833333,-0.4325,-0.369166667
1981,-0.189166667,0.070833333,-0.395833333
1982,0.915,-1.45,-0.400833333
1983,0.445833333,-0.948333333,-0.34
1984,-0.72,-0.1375,-0.325833333
1985,-0.711666667,-0.0175,-0.366666667
1986,0.084166667,-0.3225,-0.4275
1987,1.224166667,-1.4775,-0.440833333
1988,-1.019166667,0.736666667,-0.454166667
1989,-0.788333333,0.616666667,-0.479166667
1990,0.1775,-0.325833333,-0.535
1991,0.5975,-1.013333333,-0.586666667
1992,0.6225,-1.2275,-0.5425
1993,0.436666667,-1.106666667,-0.596666667
1994,0.3825,-1.353333333,-0.580833333
1995,-0.025,-0.335833333,-0.536666667
1996,-0.37,0.5625,-0.563333333
1997,1.19,-1.288333333,-0.615
1998,0.0725,-0.224166667,-0.515833333
1999,-1.094166667,0.786666667,-0.530833333
2000,-0.8725,0.7225,-0.551666667
2001,-0.336666667,-0.078333333,-0.5275
2002,0.589166667,-0.723333333,-0.530833333
2003,0.239166667,-0.426666667,-0.51
2004,0.369166667,-0.633333333,-0.499166667
2005,0.035833333,-0.456666667,-0.510833333
2006,0.093333333,-0.2825,-0.575
2007,-0.560833333,0.035,-0.53
2008,-0.713333333,0.9975,-0.485
2009,0.3525,-0.131666667,-0.48
2010,-0.43,0.944166667,-0.464166667
2011,-0.848333333,1.395833333,-0.5
2012,-0.031666667,-0.18,-0.485
2013,-0.221666667,0.345833333,-0.420833333
2014,0.254166667,-0.381666667,-0.436666667
2015,1.47,-1.174166667,-0.335833333
2016,0.395833333,-0.456666667,-0.285
2017,-0.2025,0.109166667,-0.346666667
2018,0.0625,0.0875,-0.290833333
2019,0.5325,-0.790833333,-0.245
2020,-0.221666667,0.300833333,-0.155833333
2021,-0.6275,0.7725,-0.186666667
2022,-0.8475,1.424166667,-0.219166667
