year,rainfall_derived_dryness_mm,annual_vpd_kpa,annual_ffdi_index,blue_mountains_lga_population_persons,chara_mean_raw_mm2_cm2_yr,raman_mean_raw_kw_m2
1900,-10.88333333333344,,,,21.92031682885417,47.970321715
1901,559.2166666666666,,,,13.971294430666669,
1902,657.1166666666666,,,,13.971294430666669,
1903,135.01666666666665,,,,13.971294430666669,
1904,110.91666666666652,,,,12.596581370944444,
1905,439.3166666666666,,,,14.80818063777778,46.12518606
1906,331.21666666666647,,,,22.794871141111116,43.69227927
1907,579.1166666666666,,,,29.56209647573016,42.69901286
1908,235.4166666666665,,,,29.91637850523016,
1909,445.51666666666665,,,,29.91637850523016,
1910,218.21666666666647,,,,37.45595343717461,
1911,-175.38333333333344,,,9661.0,37.45595343717461,
1912,98.3166666666666,,,,37.909438712174605,
1913,-314.0833333333335,,,,37.909438712174605,43.28864779
1914,-123.28333333333352,,,,21.858606164984128,
1915,749.7166666666666,,,,21.858606164984128,
1916,99.8166666666666,,,,19.656968795539683,44.40958699
1917,88.41666666666652,,,,18.62359761820635,
1918,517.5166666666665,,,,18.62359761820635,
1919,265.11666666666656,,,,18.62359761820635,
1920,174.01666666666665,,,,18.62359761820635,42.56816635
1921,-400.0833333333335,,,3712.0,19.438430766569443,40.93685716
1922,231.61666666666656,,,,13.721424528982142,
1923,546.6166666666666,,,,13.721424528982142,
1924,300.3166666666666,,,,15.614160393315478,
1925,51.61666666666656,,,,15.614160393315478,50.60296342
1926,96.11666666666656,,,,15.614160393315478,
1927,57.01666666666665,,,,15.614160393315478,39.93199061
1928,161.51666666666665,,,,13.336711776315475,43.806275685
1929,-220.78333333333356,,,,9.596749414361112,38.84805734
1930,78.51666666666665,,,,9.442395985361111,43.205460535
1931,-22.78333333333353,,,,12.34852745036111,25.49720563
1932,405.01666666666665,,,,12.34852745036111,
1933,-103.48333333333336,,,3394.0,14.974231239527777,
1934,-454.78333333333353,,,,14.974231239527777,
1935,451.21666666666647,,,,16.828922818833334,
1936,440.8166666666666,,,,16.828922818833334,
1937,235.61666666666656,,,,16.828922818833334,39.7785657175
1938,397.61666666666656,,,,19.68843425,41.658832175
1939,450.21666666666647,,,,17.425493218333333,34.41491046
1940,696.2166666666666,1.3943400786666666,,,17.425493218333333,
