year,annual_ffdi_index
1950,3.44366
1951,6.40856
1952,5.98823
1953,6.51875
1954,5.18119
1955,4.45205
1956,4.95972
1957,10.0051
1958,5.43524
1959,4.47743
1960,5.23056
1961,4.74703
1962,4.9179
1963,4.05378
1964,6.98302
1965,8.73427
1966,6.01416
1967,5.92281
1968,7.289
1969,4.40573
1970,5.2002
1971,5.46687
1972,5.41389
1973,4.08007
1974,4.16952
1975,5.38139
1976,4.67499
1977,7.54096
1978,4.12551
1979,7.89667
1980,9.42264
1981,5.3395
1982,8.064
1983,5.85053
1984,4.22367
1985,5.96906
1986,6.33161
1987,5.39537
1988,4.9844
1989,4.63526
1990,5.13036
1991,7.99383
1992,4.24269
1993,5.43028
1994,8.87256
1995,4.99909
1996,5.49447
1997,7.55265
1998,5.85502
1999,4.53269
2000,5.42535
2001,6.58699
2002,9.30792
2003,6.69339
2004,8.27352
2005,6.48114
2006,9.6475
2007,5.59992
2008,4.8375
2009,7.90129
2010,4.37616
2011,4.71907
2012,5.73085
2013,8.24566
2014,7.17167
2015,5.44284
2016,6.83722
2017,8.34229
2018,10.1948
2019,10.9557
2020,5.67468
2021,4.71849
2022,3.53817
