date,year,month,dmi_labelled_index_value
1/01/1950,1950,1,-0.72
1/02/1950,1950,2,-0.54
1/03/1950,1950,3,-0.05
1/04/1950,1950,4,0.38
1/05/1950,1950,5,0.12
1/06/1950,1950,6,-0.63
1/07/1950,1950,7,-1.07
1/08/1950,1950,8,-0.83
1/09/1950,1950,9,-0.52
1/10/1950,1950,10,-0.35
1/11/1950,1950,11,-0.16
1/12/1950,1950,12,-0.38
1/01/1951,1951,1,-0.7
1/02/1951,1951,2,-0.56
1/03/1951,1951,3,-0.1
1/04/1951,1951,4,0.35
1/05/1951,1951,5,0.11
1/06/1951,1951,6,-0.68
1/07/1951,1951,7,-1.1
1/08/1951,1951,8,-0.85
1/09/1951,1951,9,-0.56
1/10/1951,1951,10,-0.36
1/11/1951,1951,11,-0.19
1/12/1951,1951,12,-0.39
1/01/1952,1952,1,-0.7
1/02/1952,1952,2,-0.5
1/03/1952,1952,3,-0.04
1/04/1952,1952,4,0.3
1/05/1952,1952,5,0.12
1/06/1952,1952,6,-0.7
1/07/1952,1952,7,-1.1
1/08/1952,1952,8,-0.88
1/09/1952,1952,9,-0.52
1/10/1952,1952,10,-0.35
1/11/1952,1952,11,-0.17
1/12/1952,1952,12,-0.37
1/01/1953,1953,1,-0.66
1/02/1953,1953,2,-0.44
1/03/1953,1953,3,0.01
1/04/1953,1953,4,0.33
1/05/1953,1953,5,0.13
1/06/1953,1953,6,-0.7
1/07/1953,1953,7,-1.12
1/08/1953,1953,8,-0.89
1/09/1953,1953,9,-0.53
1/10/1953,1953,10,-0.39
1/11/1953,1953,11,-0.18
1/12/1953,1953,12,-0.34
1/01/1954,1954,1,-0.61
1/02/1954,1954,2,-0.41
1/03/1954,1954,3,0.06
1/04/1954,1954,4,0.33
1/05/1954,1954,5,0.19
1/06/1954,1954,6,-0.67
1/07/1954,1954,7,-1.1
1/08/1954,1954,8,-0.86
1/09/1954,1954,9,-0.45
1/10/1954,1954,10,-0.33
1/11/1954,1954,11,-0.14
1/12/1954,1954,12,-0.33
1/01/1955,1955,1,-0.67
1/02/1955,1955,2,-0.43
1/03/1955,1955,3,0.02
1/04/1955,1955,4,0.36
1/05/1955,1955,5,0.2
1/06/1955,1955,6,-0.71
1/07/1955,1955,7,-1.14
1/08/1955,1955,8,-0.9
1/09/1955,1955,9,-0.48
1/10/1955,1955,10,-0.37
1/11/1955,1955,11,-0.16
1/12/1955,1955,12,-0.33
1/01/1956,1956,1,-0.7
1/02/1956,1956,2,-0.45
1/03/1956,1956,3,0.01
1/04/1956,1956,4,0.38
1/05/1956,1956,5,0.12
1/06/1956,1956,6,-0.78
